path	class	in_feature_set	candidate_state	upstream_state	candidate_differs_upstream	accepted_differs_upstream	candidate_blob	upstream_blob
ui/src/components/session-hovercard.test.ts	test-file	no	present	present	no	yes	14b926244a4fb7480482590c1ceb60c6e55e9f01	14b926244a4fb7480482590c1ceb60c6e55e9f01
ui/src/components/session-owner-chip.browser.test.ts	test-file	no	present	present	no	yes	c25c9129d58f5394d242a7d08ec799dd2b7bcd20	c25c9129d58f5394d242a7d08ec799dd2b7bcd20
ui/src/components/session-progress-card.test.ts	test-file	no	present	present	no	yes	83d34566de3063aae17b8db6d9a572d27f693531	83d34566de3063aae17b8db6d9a572d27f693531
ui/src/components/settings-sidebar.test.ts	test-file	no	present	present	no	yes	e21893065bf2ad0c32ee5ab3d02666b1308dc955	e21893065bf2ad0c32ee5ab3d02666b1308dc955
ui/src/components/sidebar-attention.test.ts	test-file	no	present	present	no	yes	448a8b977d0e8b38e0bed28979c6d5fd04c219ad	448a8b977d0e8b38e0bed28979c6d5fd04c219ad
ui/src/components/terminal/terminal-connection.test.ts	test-file	no	present	present	no	yes	27fcc360627e896d72b230ad34735024e53c21b6	27fcc360627e896d72b230ad34735024e53c21b6
ui/src/components/tooltip.test.ts	test-file	no	present	present	no	yes	a79b95ee6950368ad8f652d0bfae0d46c67a1745	a79b95ee6950368ad8f652d0bfae0d46c67a1745
ui/src/e2e/approval-flow.e2e.test.ts	test-file	no	present	present	no	yes	676ae600da0e63d2d3056d5426a219da97b6ff21	676ae600da0e63d2d3056d5426a219da97b6ff21
ui/src/e2e/chat-active-turn-recovery.e2e.test.ts	test-file	no	present	present	no	yes	f0076ce9b33be4f14b26a08bf57f0593ab6b81bf	f0076ce9b33be4f14b26a08bf57f0593ab6b81bf
ui/src/e2e/chat-agent-run-transcript.e2e.test.ts	test-file	no	present	present	no	yes	58259432ed3dca22bf9138fb2dcc0f1d87a7c862	58259432ed3dca22bf9138fb2dcc0f1d87a7c862
ui/src/e2e/chat-composer-catalog.e2e.test.ts	test-file	no	present	present	no	yes	710d039ec278c10da1a0ccbfccef9cdfc3f511b7	710d039ec278c10da1a0ccbfccef9cdfc3f511b7
ui/src/e2e/chat-composer-redesign.e2e.test.ts	test-file	no	present	present	no	yes	9c0bf9865dc69e9306a252946aac04af23fc804a	9c0bf9865dc69e9306a252946aac04af23fc804a
ui/src/e2e/chat-flow.active-run-follow-ups.e2e.test.ts	test-file	no	present	present	no	yes	b5809e81d3fb94225e347513af3112f56bb27640	b5809e81d3fb94225e347513af3112f56bb27640
ui/src/e2e/chat-flow.dynamic-catalog.e2e.test.ts	test-file	no	present	present	no	yes	8e861284441efb58d05df2cc26091569cebdf5bd	8e861284441efb58d05df2cc26091569cebdf5bd
ui/src/e2e/chat-flow.navigation-presentation.e2e.test.ts	test-file	no	present	present	no	yes	936869802b514f8db16262737de6e111c441d85a	936869802b514f8db16262737de6e111c441d85a
ui/src/e2e/chat-flow.session-start.e2e.test.ts	test-file	no	present	present	no	yes	9f1afc4bb1850ac0f469e9cef1daf6a64493d586	9f1afc4bb1850ac0f469e9cef1daf6a64493d586
ui/src/e2e/chat-flow.streaming.e2e.test.ts	test-file	no	present	present	no	yes	3df461d109456044143306d9d32b6098465ed261	3df461d109456044143306d9d32b6098465ed261
ui/src/e2e/chat-message-actions.e2e.test.ts	test-file	no	present	present	no	yes	0fcd12ef998ffe1f627ae570c22d4676b66a3e50	0fcd12ef998ffe1f627ae570c22d4676b66a3e50
ui/src/e2e/chat-run-lifecycle.e2e.test.ts	test-file	no	present	present	no	yes	19071af0f11c2b2d50704bfad67d60e2b806a009	19071af0f11c2b2d50704bfad67d60e2b806a009
ui/src/e2e/chat-tool-turn-outcome.e2e.test.ts	test-file	no	present	present	no	yes	be4aa6ff152e15ade1f922548eea1d7d3a8662b5	be4aa6ff152e15ade1f922548eea1d7d3a8662b5
ui/src/e2e/chat-transcript-disclosure-anchor.e2e.test.ts	test-file	no	present	present	no	yes	473749c579183d0ca1b27a9365d25d32e2c5ca8d	473749c579183d0ca1b27a9365d25d32e2c5ca8d
ui/src/e2e/chat-user-bubble-disclosure.e2e.test.ts	test-file	no	present	present	no	yes	c595057f6f5a21334396c77279a495b3d7011ffd	c595057f6f5a21334396c77279a495b3d7011ffd
ui/src/e2e/custodian-panel-toggle.e2e.test.ts	test-file	no	present	present	no	yes	fef1ad4284114e2b01caa28ff73feac7dcd1c98c	fef1ad4284114e2b01caa28ff73feac7dcd1c98c
ui/src/e2e/device-scope-upgrade.e2e.test.ts	test-file	no	present	present	no	yes	045460ef500dd76e3edc548d02c12505c3d60bc9	045460ef500dd76e3edc548d02c12505c3d60bc9
ui/src/e2e/initial-connect-splash.e2e.test.ts	test-file	no	present	present	no	yes	d57a97a0a190dba2c8c719cdc8a740de17732793	d57a97a0a190dba2c8c719cdc8a740de17732793
ui/src/e2e/login-gate.e2e.test.ts	test-file	no	present	present	no	yes	c82a9e87be9a1eaf4b78421d5c5089e96ca5f795	c82a9e87be9a1eaf4b78421d5c5089e96ca5f795
ui/src/e2e/native-nav-sidebar-toggle.e2e.test.ts	test-file	no	present	present	no	yes	844ef474ae33e4c003fc837520863a2477110ebc	844ef474ae33e4c003fc837520863a2477110ebc
ui/src/e2e/profile-page.e2e.test.ts	test-file	no	present	present	no	yes	c1efe9a5ee487856d0204e911b119657876d3652	c1efe9a5ee487856d0204e911b119657876d3652
ui/src/e2e/session-list-filter.e2e.test.ts	test-file	no	present	present	no	yes	4a68bb1c6efc0b30ebf9ea2385de7f19606d32e6	4a68bb1c6efc0b30ebf9ea2385de7f19606d32e6
ui/src/e2e/session-management.groups.e2e.test.ts	test-file	yes	present	present	yes	yes	3ee9948f22ef178989ff7e7b1303645ba6308edd	aaa602081ebb21f11ad405559205ca30b700f1cb
